# GENERATED by tools/genfont/mksymbols.py -- do not edit.
# Joined from lib/MicroTeX/res (vendored) and unicode-math-table.tex.
# codepoint is StaTeX's lookup key, not a claim about the character's identity;
# cp_source=pua means no Unicode codepoint names this glyph.
# unicode_math is filled in only where unicode-math-table.tex disagrees with the
# chosen codepoint. MicroTeX's tables win because they are what the existing
# atlas was built from; the column records the alternative so switching is a
# one-column edit rather than an archaeology exercise.
name	codepoint	cp_source	atomtype	takes_limits	delimiter	face	tfm_font	slot	ttf	unicode_math
j	0xE02A	pua	Ordinary	0	0	3	cmti10	180	latin/optional/cmti10.ttf	
jmath	0x1D6A5	unicode-math	Ordinary	0	0	3	cmmi10_unchanged	124	base/cmmi10.ttf	
kappa	0x03BA	microtex	Ordinary	0	0	3	cmmi10_unchanged	183	base/cmmi10.ttf	
lacc	0xE02B	pua	Ordinary	0	0	3	cmsy10	102	maths/cmsy10.ttf	
lambda	0x03BB	microtex	Ordinary	0	0	3	cmmi10_unchanged	184	base/cmmi10.ttf	
land	0x2227	microtex	BinaryOp	0	0	3	cmsy10	94	maths/cmsy10.ttf	
langle	0x2329	microtex	Opening	0	1	3	cmsy10	104	maths/cmsy10.ttf	0x27E8
lbag	0x27C5	unicode-math	BinaryOp	0	0	3	stmary10	74	maths/stmary10.ttf	
lbrace	0x007B	microtex	Opening	0	1	3	cmsy10	102	maths/cmsy10.ttf	
lbrack	0x0028	microtex	Opening	0	1	3	cmr10	40	latin/cmr10.ttf	0x005B
lceil	0x2308	microtex	Opening	0	1	3	cmsy10	100	maths/cmsy10.ttf	
ldotp	0xE02C	pua	Punctuation	0	0	3	cmmi10_unchanged	58	base/cmmi10.ttf	
le	0x2264	microtex	Relation	0	0	3	cmsy10	183	maths/cmsy10.ttf	
leadsto	0x27FF	microtex	Relation	0	0	3	msam10	195	maths/msam10.ttf	
leftarrow	0x2190	microtex	Relation	0	0	3	cmsy10	195	maths/cmsy10.ttf	
leftarrowtail	0x21A2	microtex	Relation	0	0	3	msam10	190	maths/msam10.ttf	
leftarrowtriangle	0x21FD	unicode-math	Relation	0	0	3	stmary10	126	maths/stmary10.ttf	
leftharpoondown	0x21BD	microtex	Relation	0	0	3	cmmi10_unchanged	41	base/cmmi10.ttf	
leftharpoonup	0x21BC	microtex	Relation	0	0	3	cmmi10_unchanged	40	base/cmmi10.ttf	
leftleftarrows	0x21C7	microtex	Relation	0	0	3	msam10	181	maths/msam10.ttf	
leftrightarrow	0x2194	microtex	Relation	0	0	3	cmsy10	36	maths/cmsy10.ttf	
leftrightarroweq	0xE02D	pua	Relation	0	0	3	stmary10	77	maths/stmary10.ttf	
leftrightarrows	0x21C6	microtex	Relation	0	0	3	msam10	191	maths/msam10.ttf	
leftrightarrowtriangle	0x21FF	unicode-math	BinaryOp	0	0	3	stmary10	125	maths/stmary10.ttf	
leftrightharpoons	0x21CB	microtex	Relation	0	0	3	msam10	174	maths/msam10.ttf	
